season,team,position,status,full_name,first_name,last_name,jersey_number,depth_chart_position,gsis_id,espn_id,years_exp,headshot_url,week
2026,CLE,QB,ACT,Deshaun Watson,Derrick,Watson,4,QB,00-0033537,3122840,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn",2
2026,ATL,QB,ACT,Cooper Rush,Cooper,Rush,13,QB,00-0033662,2972515,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwrtykpswz7nbfisqlmj",2
2026,TEN,QB,ACT,Mitchell Trubisky,Mitchell,Trubisky,10,QB,00-0033869,3039707,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxs7ix2pmcfv5k1qn1sk",2
2026,KC,QB,ACT,Patrick Mahomes,Patrick,Mahomes,15,QB,00-0033873,3139477,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wdckwtob1lybvkmxnf7p",2
2026,DET,QB,ACT,Joshua Dobbs,Robert,Dobbs,11,QB,00-0033949,3044720,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twaqqjexyi0vgyfbvzis",2
2026,BUF,QB,ACT,Kyle Allen,Kyle,Allen,11,QB,00-0034577,3115293,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s3vbqdcoc6oc6yh460v9",2
2026,PIT,QB,ACT,Mason Rudolph,Mason,Rudolph,2,QB,00-0034771,3116407,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oadtxde6hxz1jgrs618o",2
2026,BAL,QB,ACT,Lamar Jackson,Lamar,Jackson,8,QB,00-0034796,3916387,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eno6s5qzl9grbfbfwhoa",2
2026,TB,QB,ACT,Baker Mayfield,Baker,Mayfield,6,QB,00-0034855,3052587,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue",2
2026,BUF,QB,ACT,Josh Allen,Joshua,Allen,17,QB,00-0034857,3918298,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d",2
2026,SEA,QB,INA,Sam Darnold,Sam,Darnold,14,QB,00-0034869,3912547,8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk",2
2026,MIN,QB,INA,Kyler Murray,Kyler,Murray,1,QB,00-0035228,3917315,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/btfruyf33adgnjzpcuen",2
2026,CAR,QB,RET,Will Grier,Will,Grier,14,QB,00-0035251,3115252,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c8cmoyu2wemjpl6ctk9g",2
2026,DEN,QB,ACT,Jarrett Stidham,Jarrett,Stidham,8,QB,00-0035264,3892775,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzdn86skeienyyqxyiuw",2
2026,TB,QB,DEV,Easton Stick,Easton,Stick,16,QB,00-0035282,3120590,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rspxeh6kxzfr7ftkcywh",2
2026,ARI,QB,ACT,Gardner Minshew,Gardner,Minshew,15,QB,00-0035289,4038524,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/knlacyr7rqfkcxiriudj",2
2026,SEA,QB,ACT,Drew Lock,Drew,Lock,2,QB,00-0035704,3924327,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vdixnkk1uglfpwowalf8",2
2026,IND,QB,ACT,Daniel Jones,Daniel,Jones,17,QB,00-0035710,3917792,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ohvvctuykzwrpqer7xgl",2
2026,BAL,QB,ACT,Tyler Huntley,Tyler,Huntley,5,QB,00-0035993,4035671,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fxyjf9d5qkwqjdd8ypvv",2
2026,ATL,QB,INA,Tua Tagovailoa,Tua,Tagovailoa,1,QB,00-0036212,4241479,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tmm4ohds7qci0vqoobhm",2
2026,GB,QB,ACT,Jordan Love,Jordan,Love,10,QB,00-0036264,4036378,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/thz8stjkbjwddxqnozi5",2
2026,LAC,QB,ACT,Justin Herbert,Justin,Herbert,10,QB,00-0036355,4038941,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jnkspnntgebegzp4ghve",2
2026,PHI,QB,ACT,Jalen Hurts,Jalen,Hurts,1,QB,00-0036389,4040715,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xow5yvxjeqa6witmofmp",2
2026,CIN,QB,ACT,Joe Burrow,Joe,Burrow,9,QB,00-0036442,3915511,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gnnvcgui1cijybukk2w7",2
2026,BUF,QB,DEV,Shane Buechele,Shane,Buechele,6,QB,00-0036679,4039034,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kmbuzxucmmytpuoy8yfc",2
2026,DEN,QB,INA,Sam Ehlinger,Samuel,Ehlinger,4,QB,00-0036879,4241820,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/imtb2ia03w2ujrl9dprs",2
2026,HOU,QB,ACT,Davis Mills,Davis,Mills,10,QB,00-0036898,4242546,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jh9e97vjzmeafx8jz0sn",2
2026,KC,QB,ACT,Justin Fields,Justin,Fields,6,QB,00-0036945,4362887,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/npjrombgxkc5vjkctcgy",2
2026,JAX,QB,ACT,Trevor Lawrence,Trevor,Lawrence,16,QB,00-0036971,4360310,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",2
2026,SF,QB,ACT,Mac Jones,Michael,Jones,10,QB,00-0036972,4241464,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbdwfwiuhl0ib5ajtmzq",2
2026,LAC,QB,ACT,Trey Lance,Trey,Lance,5,QB,00-0037012,4383351,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/j3psmvvxo13kmbgi60ej",2
2026,NO,QB,INA,Zach Wilson,Zachary,Wilson,11,QB,00-0037013,4361259,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i17xpbsar7evcypbhtel",2
2026,DAL,QB,ACT,Sam Howell,Sam,Howell,16,QB,00-0037077,4426875,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sx77bippywnl0dx6m8q9",2
2026,BAL,QB,RES,Skylar Thompson,Skylar,Thompson,11,QB,00-0037327,4036419,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/estx7utxpnqif0lto9cq",2
2026,SF,QB,ACT,Brock Purdy,Brock,Purdy,13,QB,00-0037834,4361741,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xs2fyj1sqdgwvt9ihbri",2
2026,CAR,QB,ACT,Kenny Pickett,Kenny,Pickett,12,QB,00-0038102,4240703,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gw6lyiuevyuspfkglnmj",2
2026,NYJ,QB,DEV,Bailey Zappe,Bailey,Zappe,4,QB,00-0038108,4250360,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b6ntwwdcbjnzv2gml8tk",2
2026,MIA,QB,ACT,Malik Willis,Malik,Willis,2,QB,00-0038128,4242512,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/txvgdbwbryzyyqq6gfet",2
2026,CIN,QB,DEV,Sean Clifford,Sean,Clifford,4,QB,00-0038391,4259592,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v0tmzl4x5qf2fo2yimqf",2
2026,PHI,QB,INA,Tanner McKee,Tanner,McKee,16,QB,00-0038400,4685201,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oveivzhzv13jrfvkp8zg",2
2026,CHI,QB,ACT,Tyson Bagent,Tyson,Bagent,17,QB,00-0038416,4434153,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ymimvligfyrucu0v3p6a",2
2026,NE,QB,ACT,Tommy DeVito,Tommy,DeVito,16,QB,00-0038476,4240391,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hb3m2zbfb5aprw6vdqx8",2
2026,TEN,QB,DEV,Hendon Hooker,Hendon,Hooker,16,QB,00-0038550,4240858,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jq92ol8hm5n7byqhpcps",2
